season,team_id,team_name,player_id,Name,position_code,POS,PA,TB,LOB,sacBunts,SF,BABIP,XBH,HBP,gidp,gidpOpp,numP,P/PA,BB%,K%,HR/PA,BB/K,ISO,ROE,walkOffs,FO,totalSwings,swingAndMisses,BIP,popOuts,lineOuts,GO,flyHits,popHits,lineHits,groundHits,team,HR,K,BB,AB,H,HR/FB%,SwStr%,Whiff%,FB%,GB%,LD%,PopUp%,K-BB%
2024,520.0,Pericos de Puebla,803165,Luis Medina,X,X,4,2.0,0.0,0.0,0,0.667,0.0,1.0,0.0,1.0,11,2.75,0.0,0.0,0.0,,0.0,0.0,0.0,0,4,1,3,0,0,1,0,0,1,1,PUE,0,0,0,3,2,,9.1,25.0,0.0,66.7,33.3,0.0,0.0
2024,520.0,Pericos de Puebla,679114,Giancarlo Servin,X,X,4,2.0,3.0,0.0,0,0.5,0.0,0.0,0.0,1.0,8,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,6,2,4,0,0,2,0,0,0,2,PUE,0,0,0,4,2,,25.0,33.3,0.0,100.0,0.0,0.0,0.0
2024,520.0,Pericos de Puebla,634739,Miguel Guzman,3,1B,364,161.0,96.0,4.0,4,0.35,27.0,2.0,9.0,52.0,1119,3.074,4.1,8.8,0.022,0.469,0.139,2.0,1.0,55,634,118,315,23,11,112,21,0,49,44,PUE,8,32,15,339,114,10.5,10.5,18.6,24.1,49.5,19.0,7.3,0.04699999999999999
2024,520.0,Pericos de Puebla,680023,Daniel Mercado,2,C,3,1.0,2.0,0.0,0,0.333,0.0,0.0,0.0,0.0,9,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,4,0,3,0,0,2,0,0,0,1,PUE,0,0,0,3,1,,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2024,520.0,Pericos de Puebla,675202,Juan Kirk,2,C,141,48.0,44.0,5.0,3,0.369,7.0,3.0,3.0,18.0,514,3.645,5.7,14.9,0.007,0.381,0.074,0.0,0.0,19,259,54,109,11,4,36,12,0,14,13,PUE,1,21,8,122,39,3.2,10.5,20.8,28.4,45.0,16.5,10.1,0.092
2024,520.0,Pericos de Puebla,664021,Ciro Norzagaray,4,2B,82,30.0,36.0,1.0,0,0.383,7.0,0.0,1.0,13.0,299,3.646,8.5,17.1,0.0,0.5,0.095,2.0,0.0,7,137,39,61,4,2,25,5,0,7,11,PUE,0,14,7,74,23,0.0,13.0,28.5,19.7,59.0,14.8,6.6,0.08600000000000001
2024,520.0,Pericos de Puebla,571685,Anthony García,9,RF,99,45.0,38.0,1.0,1,0.316,9.0,4.0,4.0,18.0,402,4.061,15.2,16.2,0.061,0.938,0.269,0.0,0.0,18,175,48,64,2,2,18,10,0,7,7,PUE,6,16,15,78,24,21.4,11.9,27.4,43.8,39.1,14.1,3.1,0.010000000000000009
2024,520.0,Pericos de Puebla,542436,Cristhian Adames,6,SS,368,138.0,104.0,1.0,0,0.34,27.0,2.0,8.0,51.0,1397,3.796,14.4,13.3,0.019,1.082,0.141,0.0,0.0,45,598,125,264,9,11,105,24,1,34,35,PUE,7,49,53,312,94,10.1,8.9,20.9,26.1,53.0,17.0,3.8,-0.010999999999999982
2024,520.0,Pericos de Puebla,600466,Raudy Read,3,1B,264,143.0,130.0,0.0,2,0.299,37.0,4.0,17.0,54.0,916,3.47,3.8,18.6,0.064,0.204,0.286,0.0,0.0,34,480,138,201,15,10,70,28,1,28,15,PUE,17,49,10,248,72,27.4,15.1,28.7,30.8,42.3,18.9,8.0,0.148
2024,520.0,Pericos de Puebla,474892,Chris Carter,10,DH,150,66.0,45.0,0.0,2,0.39,16.0,0.0,2.0,15.0,665,4.433,24.7,30.0,0.06,0.822,0.306,0.0,0.0,16,274,103,68,5,2,13,14,0,9,9,PUE,9,45,37,111,32,30.0,15.5,37.6,44.1,32.4,16.2,7.4,0.05299999999999999
2024,520.0,Pericos de Puebla,598284,Peter O'Brien,9,RF,302,147.0,123.0,0.0,3,0.396,38.0,8.0,5.0,35.0,1164,3.854,9.3,33.4,0.053,0.277,0.274,3.0,0.0,29,630,261,165,7,9,45,20,0,38,17,PUE,16,101,28,263,75,32.7,22.4,41.4,29.7,37.6,28.5,4.2,0.24100000000000002
2024,520.0,Pericos de Puebla,543611,Danny Ortiz,7,LF,368,188.0,131.0,0.0,5,0.283,44.0,1.0,4.0,55.0,1539,4.182,13.9,20.7,0.076,0.671,0.322,0.0,0.0,58,752,208,240,38,6,50,36,0,34,18,PUE,28,76,51,311,88,29.8,13.5,27.7,39.2,28.3,16.7,15.8,0.06799999999999998
2024,520.0,Pericos de Puebla,546318,Odúbel Herrera,8,CF,72,28.0,24.0,0.0,0,0.286,5.0,0.0,5.0,14.0,280,3.889,15.3,12.5,0.042,1.222,0.18,0.0,0.0,10,116,29,52,6,2,17,5,0,4,8,PUE,3,9,11,61,17,20.0,10.4,25.0,28.8,48.1,11.5,11.5,-0.027999999999999997
2024,520.0,Pericos de Puebla,607733,Drew Stankiewicz,5,3B,266,98.0,85.0,3.0,2,0.329,22.0,1.0,3.0,37.0,1130,4.248,10.5,22.6,0.026,0.467,0.155,3.0,0.0,48,483,119,177,10,3,54,19,0,20,23,PUE,7,60,28,232,62,10.4,10.5,24.6,37.9,43.5,13.0,5.6,0.12100000000000001
2024,520.0,Pericos de Puebla,608364,Nellie Rodriguez,X,X,99,36.0,38.0,1.0,1,0.4,6.0,3.0,2.0,11.0,391,3.949,10.1,36.4,0.04,0.278,0.167,1.0,0.0,6,156,70,50,2,1,19,7,0,9,6,PUE,4,36,10,84,22,30.8,17.9,44.9,26.0,50.0,20.0,4.0,0.263
2024,520.0,Pericos de Puebla,701812,Rogelio Cobos,X,X,6,4.0,3.0,1.0,0,,1.0,0.0,0.0,1.0,23,3.833,16.7,50.0,0.167,0.333,0.75,0.0,0.0,0,11,7,2,0,0,1,0,0,1,0,PUE,1,3,1,4,1,inf,30.4,63.6,0.0,50.0,50.0,0.0,0.33299999999999996
2024,520.0,Pericos de Puebla,642751,Carlos Martínez,2,C,77,23.0,27.0,0.0,3,0.254,5.0,1.0,3.0,8.0,284,3.688,10.4,10.4,0.013,1.0,0.108,1.0,0.0,12,129,26,60,6,4,22,6,0,6,4,PUE,1,8,8,65,16,5.6,9.2,20.2,30.0,43.3,16.7,10.0,0.0
2024,520.0,Pericos de Puebla,634496,Leo German,8,CF,179,49.0,83.0,3.0,1,0.313,6.0,3.0,7.0,20.0,617,3.447,8.4,22.9,0.011,0.366,0.07,1.0,0.0,20,296,70,120,8,6,48,12,0,8,18,PUE,2,41,15,157,38,6.2,11.3,23.6,26.7,55.0,11.7,6.7,0.14500000000000002
2024,520.0,Pericos de Puebla,653001,Samar Leyva,4,2B,154,57.0,55.0,3.0,0,0.205,13.0,3.0,5.0,27.0,588,3.818,10.4,8.4,0.045,1.231,0.205,1.0,2.0,29,280,51,122,12,4,47,9,0,9,12,PUE,7,13,16,132,30,18.4,8.7,18.2,31.1,48.4,10.7,9.8,-0.01999999999999999
2024,520.0,Pericos de Puebla,676761,Irving Lopez,4,2B,62,17.0,23.0,4.0,0,0.216,3.0,0.0,1.0,13.0,204,3.29,1.6,8.1,0.016,0.2,0.088,1.0,0.0,17,109,16,56,8,1,18,3,0,5,4,PUE,1,5,1,57,12,5.0,7.8,14.7,35.7,39.3,10.7,14.3,0.065
2024,520.0,Pericos de Puebla,527043,Jefry Marte,10,DH,51,18.0,17.0,0.0,0,0.152,4.0,3.0,1.0,7.0,205,4.02,13.7,9.8,0.059,1.4,0.244,2.0,0.0,9,73,13,36,3,2,14,3,0,3,2,PUE,3,5,7,41,8,25.0,6.3,17.8,33.3,44.4,13.9,8.3,-0.03900000000000001
2024,520.0,Pericos de Puebla,669315,Orlando Pina,X,X,80,15.0,24.0,0.0,1,0.213,2.0,2.0,5.0,13.0,322,4.025,17.5,20.0,0.013,0.875,0.063,0.0,1.0,20,113,30,48,2,1,14,6,0,2,3,PUE,1,16,14,63,11,3.8,9.3,26.5,54.2,35.4,6.2,4.2,0.025000000000000022
2024,520.0,Pericos de Puebla,621445,Courtney Hawkins,10,DH,28,5.0,13.0,0.0,0,0.333,1.0,0.0,1.0,2.0,104,3.714,10.7,46.4,0.0,0.231,0.04,0.0,0.0,2,53,21,12,2,0,4,0,0,4,0,PUE,0,13,3,25,4,0.0,20.2,39.6,16.7,33.3,33.3,16.7,0.35700000000000004
2024,520.0,Pericos de Puebla,666128,Mario Feliciano,2,C,72,15.0,26.0,2.0,0,0.214,3.0,3.0,1.0,8.0,268,3.722,5.6,27.8,0.014,0.2,0.079,0.0,0.0,11,140,33,45,6,3,15,3,0,3,4,PUE,1,20,4,63,10,7.1,12.3,23.6,31.1,42.2,13.3,13.3,0.22200000000000003
2024,520.0,Pericos de Puebla,811373,Gerardo Castaneda,2,C,3,0.0,2.0,0.0,0,0.0,0.0,0.0,1.0,1.0,11,3.667,0.0,0.0,0.0,,0.0,0.0,0.0,1,6,0,3,0,0,2,0,0,0,0,PUE,0,0,0,3,0,0.0,0.0,0.0,33.3,66.7,0.0,0.0,0.0
2024,520.0,Pericos de Puebla,649957,Gersel Pitre,X,X,6,0.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,20,3.333,0.0,16.7,0.0,,0.0,0.0,0.0,2,10,2,5,1,0,2,0,0,0,0,PUE,0,1,0,6,0,0.0,10.0,20.0,40.0,40.0,0.0,20.0,0.167
2024,520.0,Pericos de Puebla,572182,Darnell Sweeney,X,X,2,0.0,2.0,0.0,0,,0.0,0.0,0.0,0.0,10,5.0,0.0,100.0,0.0,,0.0,0.0,0.0,0,5,3,0,0,0,0,0,0,0,0,PUE,0,2,0,2,0,,30.0,60.0,,,,,1.0
