season,team_id,team_name,player_id,Name,POS,G,GO,R,2B,3B,HR,K,BB,IBB,H,HBP,AVG,AB,OBP,SLG,OPS,CS,SB,SB%,GIDP,numP,PA,TB,RBI,LOB,sacBunts,SF,BABIP,GO/FO,AB/HR,team,1B
2024,520.0,Pericos de Puebla,803165,Luis Medina,X,5,1,2,0,0,0,0,0,0,2,1,0.667,3,0.75,0.667,1.417,0,0,,0,11,4,2,1,0,0,0,0.667,1.0,,PUE,
2024,520.0,Pericos de Puebla,679114,Giancarlo Servin,X,3,2,0,0,0,0,0,0,0,2,0,0.5,4,0.5,0.5,1.0,0,0,,0,8,4,2,0,3,0,0,0.5,2.0,,PUE,
2024,520.0,Pericos de Puebla,634739,Miguel Guzman,1B,87,112,60,15,4,8,32,15,0,114,2,0.336,339,0.364,0.475,0.839,6,5,45.5,9,1119,364,161,38,96,4,4,0.35,1.26,42.38,PUE,
2024,520.0,Pericos de Puebla,680023,Daniel Mercado,C,6,2,1,0,0,0,0,0,0,1,0,0.333,3,0.333,0.333,0.666,0,0,,0,9,3,1,0,2,0,0,0.333,2.0,,PUE,
2024,520.0,Pericos de Puebla,675202,Juan Kirk,C,56,36,14,6,0,1,21,8,0,39,3,0.32,122,0.368,0.393,0.761,1,1,50.0,3,514,141,48,13,44,5,3,0.369,1.06,122.0,PUE,
2024,520.0,Pericos de Puebla,664021,Ciro Norzagaray,2B,43,25,10,7,0,0,14,7,0,23,0,0.311,74,0.37,0.405,0.775,2,1,33.3,1,299,82,30,9,36,1,0,0.383,1.92,,PUE,
2024,520.0,Pericos de Puebla,571685,Anthony García,RF,25,18,16,3,0,6,16,15,1,24,4,0.308,78,0.439,0.577,1.016,1,2,66.7,4,402,99,45,15,38,1,1,0.316,0.82,13.0,PUE,
2024,520.0,Pericos de Puebla,542436,Cristhian Adames,SS,88,105,58,17,3,7,49,53,0,94,2,0.301,312,0.406,0.442,0.848,2,13,86.7,8,1397,368,138,39,104,1,0,0.34,1.62,44.57,PUE,
2024,520.0,Pericos de Puebla,600466,Raudy Read,1B,71,70,35,20,0,17,49,10,0,72,4,0.29,248,0.326,0.577,0.903,0,0,,17,916,264,143,66,130,0,2,0.299,1.19,14.59,PUE,
2024,520.0,Pericos de Puebla,474892,Chris Carter,DH,39,13,30,7,0,9,45,37,1,32,0,0.288,111,0.46,0.595,1.055,0,0,,2,665,150,66,29,45,0,2,0.39,0.57,12.33,PUE,
