id,fullName,birthDate,currentAge,height,weight,POS,Birthplace,B/T
456167,A.J. Griffin,28-01-1988,36.0,"6' 5""",230.0,P,"El Cajon, USA",R/R
665733,Antonio Santos,06-10-1996,28.0,"6' 3""",223.0,P,"Villa Gonzalez, Dominican Republic",R/R
621591,Alfred Gutierrez,12-06-1995,29.0,"6' 1""",200.0,P,"Nueva Esparta, Venezuela",R/R
667910,Juan Macias,13-01-1996,28.0,"6' 0""",220.0,P,"Obregon, Mexico",R/R
666669,Elkin Alcala,02-08-1997,27.0,"5' 11""",175.0,P,"Cartagena, Colombia",R/R
593679,Gabriel Ynoa,26-05-1993,31.0,"6' 2""",205.0,P,"La Vega, Dominican Republic",R/R
800079,Cristian Alvarado,06-07-2003,21.0,"6' 0""",185.0,P,"Esperanza, Mexico",R/R
605795,Angel Sánchez,28-11-1989,34.0,"6' 1""",190.0,P,"Tenares, Dominican Republic",R/R
607733,Drew Stankiewicz,18-06-1993,31.0,"5' 10""",160.0,2B,"Columbus, USA",S/R
572182,Darnell Sweeney,01-02-1991,33.0,"6' 1""",205.0,OF,"Hollywood, USA",S/R
675188,Hector Villalobos,19-08-1996,28.0,"5' 11""",182.0,P,"San Quintin, Mexico",L/L
678499,Randy Romero,10-08-1999,25.0,"5' 11""",155.0,OF,"Mexicali, Mexico",R/R
675546,Jesus Huerta,28-09-1994,30.0,"6' 0""",181.0,P,"Hermosillo, Mexico",R/R
670772,Henry Omana,03-05-1994,30.0,"6' 4""",210.0,P,"Walnut, USA",R/R
692940,Erick Preciado,25-06-1996,28.0,"6' 0""",180.0,P,,R/R
802578,Armando Aguilar,09-09-1998,26.0,"5' 8""",203.0,IF,"Hermosillo, Mexico",L/R
456379,Al Alburquerque,10-06-1986,38.0,"6' 0""",195.0,P,"San Pedro de Macoris, Dominican Republic",R/R
661265,Yoennis Yera,18-10-1989,35.0,"5' 7""",165.0,P,"Matanzas, Cuba",L/L
634739,Miguel Guzman,23-08-1995,29.0,"5' 6""",175.0,3B,"Leon, Mexico",R/R
608475,Dawel Lugo,31-12-1994,29.0,"6' 0""",190.0,3B,"Bani, Dominican Republic",R/R
593528,Jorge Bonifacio,04-06-1993,31.0,"6' 0""",220.0,OF,"Santo Domingo, Dominican Republic",R/R
572177,Nick Struck,07-10-1989,35.0,"6' 0""",205.0,P,"Portland, USA",R/R
666627,Faustino Carrera,09-03-1999,25.0,"5' 10""",165.0,P,"Ciudad Obregon, Mexico",L/L
501317,Francisco Peguero,01-06-1988,36.0,"6' 0""",190.0,OF,"Nigua, Dominican Republic",R/R
511428,Leo Heras,29-05-1990,34.0,"5' 9""",190.0,OF,"Tijuana, Mexico",L/R
653001,Samar Leyva,20-09-1994,30.0,"6' 0""",163.0,2B,"Los Mochis, Mexico",R/R
801994,R.J. Martinez,14-09-1998,26.0,"5' 11""",175.0,P,"Moreno Valley, USA",L/L
664021,Ciro Norzagaray,17-08-1994,30.0,"5' 10""",171.0,SS,"Mexico City, Mexico",R/R
477569,Fernando Salas,30-05-1985,39.0,"6' 2""",200.0,P,"Huatabampo, Mexico",R/R
641501,Tyler Danish,12-09-1994,30.0,"6' 0""",200.0,P,"Brandon, USA",R/R
