season,team_id,team_name,player_id,Name,position_code,W%,R/9,BF,BABIP,OBP,SLG,OPS,K/9,BB/9,HR/9,H/9,K/BB,inheritedRunners,inheritedRunnersScored,bequeathedRunners,bequeathedRunnersScored,SB,CS,QS,GF,2B,3B,GIDP,gidpOpp,WP,BK,pickOffs,totalSwings,swingAndMisses,BIP,runSupport,Str%,P/IP,P/PA,BB%,K%,HR/PA,BB/K,ISO,FO,popOuts,lineOuts,GO,flyHits,popHits,lineHits,groundHits,team,Strikes,Fstrikes,CSW,Cstr,POS,HR,K,BB,numP,AVG,HBP,SF,H,AB,R,ER,G,HR/FB%,SwStr%,Whiff%,FB%,GB%,LD%,PopUp%,K-BB%,CSW%,CStr%,F-Strike%,IP,IP_corrected,1B
2024,520.0,Pericos de Puebla,593679,Gabriel Ynoa,1,0.692,5.301818181818182,412,0.345,0.382,0.514,0.896,4.221818181818182,2.749090909090909,1.5709090909090908,12.469090909090909,1.5357142857142858,0.0,0.0,10.0,0.0,4.0,6.0,5.0,0.0,21,0,11.0,77.0,2.0,0.0,3.0,744,135,339,79.0,64.3,16.06,3.573,6.8,10.4,0.039,0.651,0.181,61,35,12,104,49,2,47,29,PUE,947,261,332,197,SP,16,43,28,1472,0.333,2,0,127,381,54,50,19,14.5,9.2,18.1,32.4,39.2,17.4,10.9,3.6,22.6,13.4,63.3,91.2,91.66666666666667,90
2024,520.0,Pericos de Puebla,605795,Angel Sánchez,1,1.0,2.817391304347826,151,0.264,0.272,0.299,0.571,6.808695652173912,1.643478260869565,0.4695652173913043,7.0434782608695645,4.142857142857143,0.0,0.0,5.0,0.0,1.0,1.0,3.0,0.0,3,1,5.0,26.0,2.0,0.0,0.0,234,47,112,23.0,65.3,13.15,3.338,4.6,19.2,0.013,0.241,0.08,14,12,6,50,8,1,12,9,PUE,329,93,141,94,SP,2,29,7,504,0.219,3,0,30,137,12,10,6,9.1,9.3,20.1,19.6,52.7,16.1,11.6,14.6,28.0,18.7,61.6,38.1,38.333333333333336,24
2024,520.0,Pericos de Puebla,608601,Luis Santos,1,0.25,6.67741935483871,147,0.446,0.441,0.512,0.9530000000000001,7.258064516129032,3.774193548387097,0.5806451612903226,13.64516129032258,1.9230769230769231,13.0,6.0,17.0,4.0,3.0,1.0,0.0,4.0,10,1,5.0,29.0,0.0,1.0,0.0,275,69,105,31.0,62.5,18.68,3.939,8.8,17.0,0.014,0.52,0.142,19,6,5,28,13,0,19,15,PUE,362,88,152,83,"SP, RP",2,25,13,579,0.37,4,1,47,127,23,21,34,6.2,11.9,25.1,30.5,41.0,22.9,5.7,8.2,26.3,14.3,59.9,31.0,31.0,34
2024,520.0,Pericos de Puebla,621343,Matt Tenuta,1,1.0,4.11864406779661,84,0.317,0.325,0.329,0.654,6.864406779661016,3.2033898305084745,0.45762711864406774,9.152542372881355,2.142857142857143,10.0,1.0,13.0,3.0,1.0,0.0,0.0,7.0,2,0,3.0,13.0,1.0,0.0,0.0,169,48,62,8.0,62.0,17.8,4.167,8.3,17.9,0.012,0.467,0.066,8,5,5,24,5,0,6,9,PUE,217,52,95,47,RP,1,15,7,350,0.263,0,0,20,76,9,7,19,7.7,13.7,28.4,21.0,53.2,17.7,8.1,9.5,27.1,13.4,61.9,19.2,19.666666666666668,17
2024,520.0,Pericos de Puebla,621591,Alfred Gutierrez,1,0.667,4.704545454545454,199,0.388,0.364,0.371,0.735,10.840909090909092,4.295454545454546,0.4090909090909091,9.613636363636363,2.5238095238095237,18.0,7.0,20.0,3.0,2.0,1.0,0.0,3.0,4,3,2.0,35.0,1.0,1.0,0.0,353,99,122,33.0,62.2,18.75,4.146,10.6,26.6,0.01,0.396,0.094,19,9,5,42,13,1,16,17,PUE,513,122,258,159,RP,2,53,21,825,0.276,3,1,47,170,23,21,47,6.2,12.0,28.0,26.2,48.4,17.2,8.2,16.1,31.3,19.3,61.3,44.0,44.0,38
2024,520.0,Pericos de Puebla,642584,Franklyn Kilome,1,,10.125,31,0.44,0.516,0.583,1.099,1.6875,6.75,0.0,18.5625,0.25,2.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,3,0,1.0,8.0,1.0,0.0,0.0,53,10,25,4.0,57.3,23.25,4.0,12.9,3.2,0.0,4.0,0.125,4,0,1,9,2,0,6,3,PUE,71,16,28,18,"SP, RP",0,1,4,124,0.458,1,2,11,24,6,6,5,0.0,8.1,18.9,24.0,48.0,28.0,0.0,-9.7,22.6,14.5,51.6,5.1,5.333333333333333,8
2024,520.0,Pericos de Puebla,650492,Domingo Jimenez,1,,6.1875,72,0.34,0.366,0.377,0.743,7.875,5.0625,0.5625,9.5625,1.5555555555555556,0.0,0.0,7.0,3.0,0.0,0.0,0.0,4.0,3,0,2.0,14.0,3.0,0.0,0.0,137,38,49,1.0,59.1,18.94,4.208,12.5,19.4,0.014,0.643,0.098,13,3,2,14,4,0,9,4,PUE,179,42,79,41,RP,1,14,9,303,0.279,0,1,17,61,11,11,18,5.9,12.5,27.7,34.7,36.7,22.4,6.1,6.9,26.1,13.5,58.3,16.0,16.0,13
2024,520.0,Pericos de Puebla,650828,Edgar Santana,1,0.5,5.213793103448276,212,0.313,0.332,0.483,0.815,5.027586206896552,1.6758620689655173,1.489655172413793,11.172413793103448,3.0,14.0,2.0,11.0,4.0,2.0,4.0,0.0,6.0,13,0,4.0,32.0,3.0,0.0,0.0,354,69,175,35.0,67.1,14.48,3.302,4.2,12.7,0.038,0.333,0.184,25,16,12,62,18,0,17,25,PUE,470,126,180,111,RP,8,27,9,700,0.299,1,0,60,201,28,25,48,18.6,9.9,19.5,24.6,49.7,16.6,9.1,8.5,25.7,15.9,59.4,48.1,48.333333333333336,39
2024,520.0,Pericos de Puebla,661269,Vladimir Gutierrez,1,0.667,5.4,181,0.309,0.365,0.435,0.8,8.775,4.275,1.575,9.225,2.0526315789473686,0.0,0.0,5.0,0.0,4.0,1.0,2.0,0.0,5,0,4.0,28.0,4.0,1.0,0.0,329,88,117,34.0,64.3,16.65,3.68,10.5,21.5,0.039,0.487,0.169,18,11,6,41,11,0,15,15,PUE,428,118,186,98,SP,7,39,19,666,0.266,6,2,41,154,24,24,8,24.1,13.2,26.7,24.8,47.9,17.9,9.4,11.0,27.9,14.7,65.2,40.0,40.0,29
2024,520.0,Pericos de Puebla,665733,Antonio Santos,1,1.0,2.4923076923076923,89,0.308,0.307,0.304,0.611,10.384615384615383,2.4923076923076923,0.8307692307692307,7.476923076923076,4.166666666666667,0.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,0,0,1.0,18.0,0.0,0.0,0.0,171,48,55,12.0,64.8,15.46,3.764,6.7,28.1,0.022,0.24,0.076,11,3,5,18,4,0,8,6,PUE,217,54,92,44,SP,2,25,6,335,0.228,3,0,18,79,6,6,4,13.3,14.3,28.1,27.3,43.6,23.6,5.5,21.3,27.5,13.1,60.7,21.2,21.666666666666668,16
