season,team_id,team_name,player_id,Name,position_code,POS,G,GS,GO,airOuts,R,2B,3B,HR,K,BB,IBB,H,HBP,AVG,AB,OBP,SLG,OPS,CS,SB,SB%,GIDP,numP,ERA,IP,W,L,SV,SVOpp,HLD,BS,ER,WHIP,BF,Outs,GPitched,CG,SHO,Str,Str%,HBP.1,BK,WP,pickOffs,TB,GO/FO,W%,P/IP,GF,K/BB,K/9,BB/9,H/9,R/9,HR/9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,SF,team,QS,IP_corrected,1B,BABIP
2024,520.0,Pericos de Puebla,806317,Axel Sauceda,1,RP,3,0,7,3.0,1,0,0,0,4,3,0,6,0,0.3,20,0.391,0.3,0.6910000000000001,0,0,,1,86,1.8,5.0,0,0,0,0,0,0,1,1.8,23,15,3.0,0,0.0,50,0.5813953488372093,0.0,0,0,0.0,6,2.33,,17.2,1.0,1.3333333333333333,7.2,5.4,10.8,1.8,0.0,2.0,0.0,0.0,0.0,0,PUE,0,5.0,6,0.375
2024,520.0,Pericos de Puebla,605795,Angel Sánchez,1,SP,6,6,50,32.0,12,3,1,2,29,7,0,30,3,0.219,137,0.272,0.299,0.571,1,1,50.0,5,504,2.3478260869565215,38.1,3,0,0,0,0,0,10,0.9652173913043478,151,115,6.0,0,0.0,329,0.6527777777777778,3.0,0,2,0.0,41,1.56,1.0,13.14782608695652,0.0,4.142857142857143,6.808695652173912,1.643478260869565,7.0434782608695645,2.817391304347826,0.4695652173913043,0.0,0.0,0.0,4.0,0,PUE,3,38.333333333333336,24,0.264
2024,520.0,Pericos de Puebla,665733,Antonio Santos,1,SP,4,4,18,19.0,6,0,0,2,25,6,0,18,3,0.228,79,0.307,0.304,0.611,2,0,0.0,1,335,2.4923076923076923,21.2,1,0,0,0,0,0,6,1.1076923076923075,89,65,4.0,0,0.0,217,0.6477611940298508,3.0,0,0,0.0,24,0.95,1.0,15.46153846153846,0.0,4.166666666666667,10.384615384615383,2.4923076923076923,7.476923076923076,2.4923076923076923,0.8307692307692307,0.0,0.0,0.0,1.0,0,PUE,1,21.666666666666668,16,0.308
2024,520.0,Pericos de Puebla,690345,Pedro Garcia,1,RP,29,0,30,26.0,12,5,0,3,19,12,1,24,2,0.253,95,0.345,0.4,0.745,0,0,,4,447,3.0759493670886076,26.1,3,0,3,6,5,3,9,1.3670886075949367,113,79,29.0,0,0.0,278,0.6219239373601789,2.0,0,2,0.0,38,1.15,1.0,16.974683544303797,8.0,1.5833333333333333,6.493670886075949,4.101265822784811,8.202531645569621,4.101265822784811,1.0253164556962027,11.0,3.0,0.0,3.0,1,PUE,0,26.333333333333332,16,0.284
2024,520.0,Pericos de Puebla,621343,Matt Tenuta,1,RP,19,0,24,18.0,9,2,0,1,15,7,0,20,0,0.263,76,0.325,0.329,0.654,0,1,100.0,3,350,3.2033898305084745,19.2,2,0,4,4,4,0,7,1.3728813559322033,84,59,19.0,0,0.0,217,0.62,0.0,0,1,0.0,25,1.33,1.0,17.796610169491526,7.0,2.142857142857143,6.864406779661016,3.2033898305084745,9.152542372881355,4.11864406779661,0.45762711864406774,10.0,1.0,0.0,1.0,0,PUE,0,19.666666666666668,17,0.317
2024,520.0,Pericos de Puebla,800079,Cristian Alvarado,1,RP,9,0,9,12.0,4,1,0,1,2,2,0,9,1,0.31,29,0.353,0.448,0.8009999999999999,1,0,0.0,1,121,3.375,8.0,0,0,0,0,0,0,3,1.375,35,24,9.0,0,0.0,75,0.6198347107438017,1.0,0,0,0.0,13,0.75,,15.125,3.0,1.0,2.25,2.25,10.125,4.5,1.125,3.0,3.0,0.0,1.0,2,PUE,0,8.0,7,0.286
2024,520.0,Pericos de Puebla,667638,Samuel Alvarado,1,RP,20,0,13,23.0,8,5,0,3,23,5,0,15,0,0.205,73,0.253,0.397,0.65,1,1,50.0,0,329,3.661016949152542,19.2,1,0,0,0,0,0,8,1.0169491525423728,79,59,20.0,0,0.0,223,0.6778115501519757,0.0,0,1,0.0,29,0.57,1.0,16.728813559322035,12.0,4.6,10.525423728813559,2.2881355932203387,6.864406779661016,3.661016949152542,1.3728813559322033,18.0,2.0,0.0,0.0,1,PUE,0,19.666666666666668,7,0.25
2024,520.0,Pericos de Puebla,621591,Alfred Gutierrez,1,RP,47,0,42,33.0,23,4,3,2,53,21,2,47,3,0.276,170,0.364,0.371,0.735,1,2,66.7,2,825,4.295454545454546,44.0,6,3,1,2,13,1,21,1.5454545454545454,199,132,47.0,0,0.0,513,0.6218181818181818,3.0,1,1,0.0,63,1.27,0.667,18.75,3.0,2.5238095238095237,10.840909090909092,4.295454545454546,9.613636363636363,4.704545454545454,0.4090909090909091,18.0,7.0,0.0,4.0,1,PUE,0,44.0,38,0.388
2024,520.0,Pericos de Puebla,650828,Edgar Santana,1,RP,48,0,62,53.0,28,13,0,8,27,9,1,60,1,0.299,201,0.332,0.483,0.815,4,2,33.3,4,700,4.655172413793103,48.1,2,2,0,2,10,2,25,1.4275862068965517,212,145,48.0,0,0.0,470,0.6714285714285714,1.0,0,3,0.0,97,1.17,0.5,14.482758620689655,6.0,3.0,5.027586206896552,1.6758620689655173,11.172413793103448,5.213793103448276,1.489655172413793,14.0,2.0,0.0,1.0,0,PUE,0,48.333333333333336,39,0.313
2024,520.0,Pericos de Puebla,593679,Gabriel Ynoa,1,SP,19,19,104,108.0,54,21,0,16,43,28,2,127,2,0.333,381,0.382,0.514,0.896,6,4,40.0,11,1472,4.909090909090909,91.2,9,4,0,0,0,0,50,1.690909090909091,412,275,19.0,0,0.0,947,0.6433423913043478,2.0,0,2,3.0,196,0.96,0.692,16.05818181818182,0.0,1.5357142857142858,4.221818181818182,2.749090909090909,12.469090909090909,5.301818181818182,1.5709090909090908,0.0,0.0,0.0,1.0,0,PUE,5,91.66666666666667,90,0.345
2024,520.0,Pericos de Puebla,661269,Vladimir Gutierrez,1,SP,8,8,41,35.0,24,5,0,7,39,19,2,41,6,0.266,154,0.365,0.435,0.8,1,4,80.0,4,666,5.4,40.0,4,2,0,0,0,0,24,1.5,181,120,8.0,1,1.0,428,0.6426426426426426,6.0,1,4,0.0,67,1.17,0.667,16.65,0.0,2.0526315789473686,8.775,4.275,9.225,5.4,1.575,0.0,0.0,0.0,0.0,2,PUE,2,40.0,29,0.309
2024,520.0,Pericos de Puebla,679892,Emilio Marquez,1,"SP, RP",9,5,18,16.0,11,3,0,3,19,6,0,19,0,0.271,70,0.325,0.443,0.768,0,0,,0,301,5.60377358490566,17.2,1,2,1,1,0,0,11,1.4150943396226414,78,53,9.0,0,0.0,202,0.6710963455149501,0.0,0,0,0.0,31,1.13,0.333,17.037735849056602,1.0,3.1666666666666665,9.679245283018867,3.0566037735849054,9.679245283018867,5.60377358490566,1.5283018867924527,7.0,1.0,0.0,1.0,1,PUE,0,17.666666666666668,13,0.327
2024,520.0,Pericos de Puebla,679647,Jackson Rose,1,"SP, RP",15,13,49,51.0,36,15,0,8,43,21,1,56,4,0.284,197,0.363,0.482,0.845,1,2,66.7,6,862,5.6938775510204085,49.0,1,5,0,0,0,0,31,1.5714285714285714,224,147,15.0,0,0.0,562,0.6519721577726219,4.0,0,3,0.0,95,0.96,0.167,17.591836734693878,0.0,2.0476190476190474,7.8979591836734695,3.857142857142857,10.285714285714286,6.612244897959184,1.469387755102041,0.0,0.0,0.0,1.0,1,PUE,0,49.0,33,0.327
2024,520.0,Pericos de Puebla,608601,Luis Santos,1,"SP, RP",34,1,28,30.0,23,10,1,2,25,13,2,47,4,0.37,127,0.441,0.512,0.9530000000000001,1,3,75.0,5,579,6.096774193548387,31.0,1,3,1,4,7,3,21,1.935483870967742,147,93,34.0,0,0.0,362,0.6252158894645942,4.0,1,0,0.0,65,0.93,0.25,18.677419354838708,4.0,1.9230769230769231,7.258064516129032,3.774193548387097,13.64516129032258,6.67741935483871,0.5806451612903226,13.0,6.0,0.0,2.0,1,PUE,0,31.0,34,0.446
2024,520.0,Pericos de Puebla,650492,Domingo Jimenez,1,RP,18,0,14,18.0,11,3,0,1,14,9,0,17,0,0.279,61,0.366,0.377,0.743,0,0,,2,303,6.1875,16.0,0,0,1,2,1,1,11,1.625,72,48,18.0,0,0.0,179,0.5907590759075908,0.0,0,3,0.0,23,0.78,,18.9375,4.0,1.5555555555555556,7.875,5.0625,9.5625,6.1875,0.5625,0.0,0.0,0.0,1.0,1,PUE,0,16.0,13,0.34
