team,season,BF,2B,3B,totalSwings,swingAndMisses,BIP,popOuts,lineOuts,GO,flyHits,popHits,lineHits,groundHits,Strikes,Fstrikes,CSW,Cstr,HR,K,BB,numP,HBP,SF,H,AB,FO,R,IP,IP_corrected,1B,SLG,OBP,OPS,AVG,BABIP,HR/FB%,SwStr%,Whiff%,FB%,GB%,LD%,PopUp%,K%,BB%,K-BB%,CSW%,CStr%,F-Strike%,Str%,K/9,BB/9,H/9,R/9,HR/9,K/BB
AGS,2024,3571,190,19,6233,1593,2496,170,154,835,166,8,409,316,9571,2366,4172,2311,91,611,417,13631,46,26,899,3058,438,527,781.1,781.3333333333334,599,0.458,0.384,0.8420000000000001,0.294,0.347,15.1,11.7,25.6,24.2,46.1,22.6,7.1,17.1,11.7,5.4,30.6,17.0,66.3,70.2,7.03796928327645,4.803327645051194,10.35537542662116,6.070392491467577,1.0482081911262797,1.4652278177458034
CAM,2024,3321,149,14,6109,1287,2348,231,73,729,396,2,221,209,9134,2198,3548,2041,108,599,328,12699,46,22,828,2900,487,507,728.1,728.3333333333334,557,0.458,0.365,0.823,0.286,0.332,12.2,10.1,21.1,37.6,39.9,12.5,9.9,18.0,9.9,8.2,27.9,16.1,66.2,71.9,7.40183066361556,4.053089244851258,10.23157894736842,6.264988558352402,1.334553775743707,1.826219512195122
CHI,2024,3781,234,25,6516,1440,2701,182,112,861,252,3,423,344,10276,2569,4270,2586,109,644,385,14284,51,35,1022,3276,524,632,808.2,808.6666666666666,654,0.498,0.389,0.887,0.312,0.367,14.0,10.1,22.1,28.7,44.6,19.8,6.8,17.0,10.2,6.9,29.9,18.1,67.9,71.9,7.167353668590272,4.284830997526793,11.374278647980216,7.033800494641385,1.2131079967023908,1.6727272727272726
DUR,2024,3773,219,18,6782,1684,2705,208,114,857,228,6,469,297,10564,2590,4422,2439,90,629,380,14468,59,37,1000,3271,526,637,799.0,799.0,673,0.466,0.384,0.8500000000000001,0.306,0.362,11.9,11.6,24.8,27.9,42.7,21.6,7.9,16.7,10.1,6.6,30.6,16.9,68.6,73.0,7.085106382978723,4.280350438047559,11.264080100125156,7.175219023779725,1.0137672090112642,1.6552631578947368
JAL,2024,3665,186,23,6470,1574,2614,177,121,845,322,1,301,365,10537,2594,4433,2557,113,641,346,14035,64,36,989,3191,481,603,789.0,789.0,667,0.489,0.385,0.874,0.31,0.365,14.1,11.2,24.3,30.7,46.3,16.1,6.8,17.5,9.4,8.0,31.6,18.2,70.8,75.1,7.311787072243346,3.946768060836502,11.281368821292777,6.8783269961977185,1.2889733840304183,1.8526011560693643
LAG,2024,3581,152,13,6228,1527,2484,182,114,804,225,3,313,308,9727,2361,4261,2494,68,644,379,13817,73,35,849,3069,536,473,791.1,791.3333333333334,616,0.401,0.366,0.767,0.277,0.336,8.9,11.1,24.5,30.6,44.8,17.2,7.4,18.0,10.6,7.4,30.8,18.1,65.9,70.4,7.324347093513058,4.31044650379107,9.655855096882897,5.379528222409435,0.7733782645324346,1.6992084432717678
LAR,2024,3510,135,11,6432,1705,2374,170,84,813,228,1,258,354,8822,2174,3933,2192,67,788,301,13554,47,26,841,3104,466,407,812.1,812.3333333333334,628,0.386,0.342,0.728,0.271,0.348,9.7,12.6,26.5,29.2,49.2,14.4,7.2,22.5,8.6,13.9,29.0,16.2,61.9,65.1,8.730406237176856,3.3348379154698398,9.317603610997127,4.509232663110382,0.7423061140746819,2.617940199335548
LEO,2024,3626,178,13,6402,1594,2456,152,125,841,221,5,369,310,10990,2653,4701,2722,93,700,418,14135,52,29,905,3094,433,585,776.2,776.6666666666666,621,0.449,0.383,0.8320000000000001,0.293,0.357,14.2,11.3,24.9,26.6,46.9,20.1,6.4,19.3,11.5,7.8,33.3,19.3,73.2,77.8,8.111587982832619,4.843776824034335,10.487124463519313,6.778969957081546,1.0776824034334764,1.674641148325359
MEX,2024,3413,147,13,6262,1643,2363,165,137,864,164,0,343,299,8861,2228,3803,2056,75,731,274,12784,46,16,806,3050,390,394,800.0,800.0,571,0.395,0.333,0.728,0.264,0.328,13.5,12.9,26.2,23.4,49.2,20.3,7.0,21.4,8.0,13.4,29.7,16.1,65.3,69.3,8.22375,3.0825,9.0675,4.4325,0.84375,2.667883211678832
MTY,2024,3429,171,10,6124,1553,2413,174,95,882,203,0,322,298,9608,2355,4181,2371,78,646,334,13050,36,22,823,3012,439,433,789.2,789.6666666666666,564,0.414,0.35,0.764,0.273,0.329,12.1,11.9,25.4,26.6,48.9,17.3,7.2,18.8,9.7,9.1,32.0,18.2,68.7,73.6,7.362600253271423,3.806669480793584,9.379907133811736,4.934993668214437,0.8889826931194598,1.9341317365269461
