,team,season,G,R,2B,3B,HR,K,BB,IBB,H,HBP,AB,SB,CS,W,L,SV,SVOpp,HLD,BS,ER,BF,Str,BK,WP,TB,SF,GS,QS,IP,IP_corrected,ERA,WHIP
0,AGS,2024,478,527,190,19,91,611,417,18,899,46,3058,52,51,48,43,17,28,60,11,487,3571,8241,9,71,1400,26,91,13,781.1,781.3333333333334,5.61,1.68
1,CAM,2024,425,507,149,14,108,599,328,11,828,46,2900,75,22,32,55,13,29,33,16,462,3321,7872,5,67,1329,22,87,16,728.1,728.3333333333334,5.71,1.59
2,CHI,2024,472,632,234,25,109,644,385,9,1022,51,3276,54,27,33,60,14,30,40,16,595,3781,8818,8,55,1633,35,93,26,808.2,808.6666666666666,6.62,1.74
3,DUR,2024,527,637,219,18,90,629,380,24,1000,59,3271,76,31,37,55,16,24,42,8,570,3773,8851,10,67,1525,37,92,9,799.0,799.0,6.42,1.73
4,JAL,2024,491,603,186,23,113,641,346,6,989,64,3191,65,32,36,56,10,29,54,19,563,3665,8614,2,77,1560,36,92,13,789.0,789.0,6.42,1.69
5,LAG,2024,504,473,152,13,68,644,379,13,849,73,3069,69,21,52,39,22,39,57,17,421,3581,8478,8,61,1231,35,91,7,791.1,791.3333333333334,4.79,1.55
6,LAR,2024,462,407,135,11,67,788,301,1,841,47,3104,79,27,54,39,26,44,64,18,368,3510,8659,4,60,1199,26,93,35,812.1,812.3333333333334,4.08,1.41
7,LEO,2024,462,585,178,13,93,700,418,16,905,52,3094,78,17,37,53,13,37,47,24,542,3626,8541,9,69,1388,29,90,10,776.2,776.6666666666666,6.28,1.7
8,MEX,2024,431,394,147,13,75,731,274,10,806,46,3050,49,23,71,19,22,41,64,19,354,3413,8221,6,52,1204,16,90,17,800.0,800.0,3.98,1.35
9,MTY,2024,474,433,171,10,78,646,334,10,823,36,3012,48,34,53,37,17,30,59,13,391,3429,8207,10,59,1248,22,90,15,789.2,789.6666666666666,4.46,1.47
10,MVA,2024,506,408,123,12,76,642,290,4,802,35,3047,45,38,51,40,14,34,70,20,364,3427,8105,3,41,1177,21,91,14,802.1,802.3333333333334,4.08,1.36
11,OAX,2024,501,591,180,8,132,666,421,13,954,52,3159,56,34,46,44,19,44,80,25,546,3683,8580,7,76,1546,27,90,8,792.0,792.0,6.2,1.74
12,PUE,2024,483,477,147,9,106,568,280,16,878,51,2979,38,27,45,44,23,43,52,20,428,3362,7948,3,38,1361,21,89,14,750.0,750.0,5.14,1.54
13,QRO,2024,412,580,184,9,131,601,374,14,1005,29,3127,54,26,50,38,26,45,47,19,524,3585,8317,9,72,1600,26,89,13,760.2,760.6666666666666,6.2,1.81
14,SLT,2024,472,492,217,19,93,640,244,6,977,35,3232,97,24,44,48,20,39,70,19,460,3559,8263,4,32,1511,24,92,16,808.0,808.0,5.12,1.51
15,TAB,2024,437,429,152,5,105,719,309,16,792,41,3071,65,35,47,46,30,39,46,9,388,3472,8441,7,52,1269,20,93,24,801.2,801.6666666666666,4.36,1.37
16,TIG,2024,500,500,140,11,112,690,375,13,865,43,3017,53,38,25,64,9,22,41,13,451,3497,8371,8,67,1363,31,89,11,768.0,768.0,5.29,1.61
17,TIJ,2024,480,402,143,10,80,721,279,10,805,39,3119,83,19,52,40,21,32,71,11,359,3498,8657,2,50,1208,20,92,19,817.0,817.0,3.95,1.33
18,VER,2024,405,426,145,14,100,622,296,13,777,50,3015,42,16,46,44,21,28,43,7,381,3413,8112,2,39,1250,25,90,28,788.0,788.0,4.35,1.36
19,YUC,2024,410,400,156,12,70,664,254,5,716,35,2866,54,17,45,40,19,36,58,17,358,3207,7839,4,39,1106,22,86,26,750.0,750.0,4.3,1.29
